,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,3.6,1.4,3.3,3.8,4.6,2.7,4.3,6.1,2.3,3.0,4.3,5.3,2.4,3.6,3.9,4.6,5.9,3.8,4.5,3.9,3.8,4.3,4.4,4.6,3.6,3.4,3.3,3.3,4.1,3.5,7.0,1.7,2.6,2.3,8.1,10.3,6.0,2.6,1.3,1.6,6.8,5.7,3.0,5.6,4.9,2.9,5.3,4.2,2.2,3.0,0.7,2.5,3.4,3.1,6.9,6.8,6.0,2.7,5.0,3.2,4.8,7.5,4.5,2.7,3.9,8.0,2.8,4.7,7.2,5.8,4.1,5.9,7.7,3.0,3.3,3.6,4.1,2.8,8.1,3.4,2.4,4.9,6.9,4.5,5.1,5.1,4.7,6.0,8.2,6.2,2.0,5.2,4.1,3.9,2.7,4.9,3.4,5.1,8.9,5.9,5.5,7.7,4.6,5.0,1.6,3.3,2.3,1.7,5.2,3.3,8.3,5.2,3.6,6.6
2,6,2,6,5,5,4,7,9,4,4,7,8,4,5,5,6,7,4,8,5,5,6,6,7,6,7,7,6,7,6,13,4,4,2,11,14,11,9,3,4,8,10,6,8,7,6,11,11,5,5,2,2,5,7,11,8,7,2,7,4,6,12,7,4,6,14,11,6,12,6,5,9,16,8,2,3,4,2,18,7,5,9,9,6,9,6,7,8,15,11,5,4,9,8,6,5,4,7,15,8,11,12,5,7,2,3,6,4,1,1,1,1,2,1
3,8,2,4,5,6,4,6,11,6,6,6,11,4,6,6,7,9,5,9,5,6,6,6,8,8,9,8,8,8,7,16,6,5,5,12,16,13,13,6,5,10,8,9,7,5,6,16,10,4,5,3,1,9,6,12,9,6,3,9,5,8,13,7,5,6,13,12,7,12,4,7,8,18,5,6,3,7,3,18,7,6,6,10,6,8,7,8,7,10,13,3,5,13,3,6,5,4,9,16,5,14,16,2,5,2,4,7,5,3,3,5,7,5,6
4,3,1,5,3,2,3,1,6,4,5,7,10,5,5,5,8,8,6,8,3,3,6,5,7,7,8,7,9,8,5,18,0,4,7,10,19,10,17,11,4,9,9,3,5,4,5,14,9,3,5,6,3,9,3,11,9,3,4,8,5,7,12,5,5,9,12,12,8,11,6,9,6,18,3,5,2,7,3,15,9,8,4,10,4,9,4,9,7,8,10,2,8,12,7,2,2,2,7,16,5,14,15,1,4,1,5,7,5,6,5,14,8,5,9
5,8,5,5,2,2,2,3,5,0,3,5,9,5,5,4,7,5,6,7,3,2,5,4,6,7,8,7,10,5,3,15,5,4,6,13,19,6,14,9,5,8,8,1,8,3,6,13,6,3,6,6,6,8,3,8,3,1,4,5,7,8,12,3,6,10,12,10,7,11,8,9,7,18,2,8,2,12,4,10,10,4,1,7,3,4,4,9,6,10,8,3,8,12,9,5,1,3,6,16,2,13,14,1,3,1,6,7,5,7,8,14,9,5,9
6,6,6,7,4,3,5,5,6,2,5,5,8,4,5,5,5,4,8,7,1,2,4,4,6,6,8,8,10,6,6,7,7,0,7,13,14,2,12,6,5,4,10,4,5,2,6,13,5,7,6,6,7,8,4,5,5,6,5,5,7,9,9,3,3,10,12,8,3,14,7,6,7,18,3,10,6,11,6,4,3,2,2,4,3,2,6,6,4,10,3,7,5,13,7,9,2,3,6,12,1,11,12,1,4,2,5,7,4,6,9,8,8,4,8
7,5,7,11,3,5,4,5,7,7,7,4,7,3,3,4,3,6,8,6,1,3,2,6,5,6,9,9,10,10,5,3,9,5,5,14,10,1,10,6,4,2,10,7,4,7,5,14,4,12,9,5,8,5,4,1,4,7,5,3,7,9,6,1,4,9,11,4,4,16,7,4,4,17,5,11,6,11,7,2,5,5,9,3,0,4,5,3,6,12,3,10,4,10,10,10,5,4,6,10,2,10,9,1,4,1,6,6,4,5,8,6,9,3,9
8,8,4,12,8,5,5,4,5,7,7,5,8,3,2,3,3,5,5,3,2,5,3,8,7,8,9,5,10,13,9,3,7,7,3,15,5,1,9,7,4,2,10,11,6,5,5,14,6,13,10,8,7,4,3,2,6,3,8,1,5,7,5,5,2,9,11,6,6,16,7,9,4,16,8,12,7,11,11,5,7,5,9,6,2,2,2,4,5,15,5,9,7,10,3,10,6,7,7,9,4,11,7,1,2,1,6,6,6,3,10,6,7,4,10
9,12,5,10,10,2,6,4,6,10,8,7,8,3,1,2,4,5,4,5,1,4,2,9,7,7,7,5,8,13,10,6,5,7,5,14,8,5,10,6,3,4,10,11,8,10,4,17,7,15,12,10,8,6,2,5,8,2,9,3,5,6,5,4,4,11,10,6,6,15,8,11,7,15,9,12,11,11,10,7,10,7,6,6,1,6,4,6,6,18,11,9,7,11,5,7,6,8,10,11,3,10,7,1,1,1,5,4,6,4,11,6,4,4,9
